lab_canonical_id,lab_primary_name,target_entity,target_attribute,operation_type,value_semantics,application_stage,target_domain,stacking_note,active_ladder_surface,verification_status,remaining_caveat
LAB_ATTACK_SPEED,Attack Speed,tower,attack_speed_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,tower_or_wall_stat,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/lab-values.csv,active_bundled_source_verified,none
LAB_CASH_BONUS,Cash Bonus,tower,cash_bonus_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,economy,applies as persistent lab contribution to workshop cash bonus progression,kb/labs/tables/wiki-lab-cash-bonus.csv,externally_verified_live_wiki_2026-03-14,none
LAB_CHRONO_FIELD_DURATION,Chrono Field Duration,ultimate_weapon_chrono_field,duration_seconds,additive_seconds,seconds,persistent_lab_state,ultimate_weapon_duration,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/lab-values.csv,active_bundled_source_verified,none
LAB_COINS_PER_WAVE,Coins/Wave,tower,coins_per_wave_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,economy,applies as persistent lab contribution to workshop coins/wave progression,kb/labs/tables/wiki-lab-coins-wave.csv,externally_verified_live_wiki_2026-03-14,none
LAB_DAMAGE,Damage,tower,damage_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,tower_or_wall_stat,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/wiki-lab-damage.csv,externally_verified_live_wiki_2026-03-14,none
LAB_DEFENSE_PERCENT,Defense %,tower,defense_percent_points,additive_percent_points,percent_points,persistent_lab_state,tower_or_skip_bonus,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/lab-values.csv,active_bundled_source_verified,none
LAB_ENEMY_ATTACK_LEVEL_SKIP,Enemy Attack Level Skip,enemy_attack_level_skip,chance_percent_points,additive_percent_points,percent_points,persistent_lab_state,tower_or_skip_bonus,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/lab-values.csv,active_bundled_source_verified,none
LAB_ENEMY_HEALTH_LEVEL_SKIP,Enemy Health Level Skip,enemy_health_level_skip,chance_percent_points,additive_percent_points,percent_points,persistent_lab_state,tower_or_skip_bonus,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/lab-values.csv,active_bundled_source_verified,none
LAB_GAME_SPEED,Game Speed,game_runtime,game_speed_multiplier,set_or_additive_tiered_override,raw_multiplier,persistent_lab_state,global_runtime_speed,sets the base max game speed progression provided by the lab ladder,kb/labs/tables/wiki-game-speed-lab.csv,externally_verified_live_wiki_2026-03-14,Game speed display and effective runtime accuracy remain a separate system note.
LAB_HEALTH,Health,tower,health_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,tower_or_wall_stat,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/lab-values.csv,active_bundled_source_verified,none
LAB_HEALTH_REGEN,Health Regen,tower,health_regen_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,tower_or_wall_stat,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/lab-values.csv,active_bundled_source_verified,none
LAB_LAB_SPEED,Labs Speed,laboratory,lab_speed_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,meta_progression,stacks multiplicatively with relic-based lab speed bonus per live wiki description,kb/labs/tables/wiki-lab-labs-speed.csv,externally_verified_live_wiki_2026-03-14,none
LAB_RANGE,Range,tower,range_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,tower_or_wall_stat,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/wiki-lab-range.csv,externally_verified_live_wiki_2026-03-14,none
LAB_RECOVERY_PACKAGE_CHANCE,Recovery Package Chance,tower,recovery_package_chance_percent_points,additive_percent_points,percent_points,persistent_lab_state,tower_or_skip_bonus,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/lab-values.csv,active_bundled_source_verified,none
LAB_WALL_FORTIFICATION,Wall Fortification,wall,fortification_pct,additive_percent_points,percent_points,persistent_lab_state,wall_regen_bonus,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/wall-lab-wall-fortification.csv,externally_verified_live_wiki_2026-03-14_with_unlock_conflict,Dedicated page and Milestones page disagree on unlock wave (60 vs 40).
LAB_WALL_HEALTH,Wall Health,wall,health_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,tower_or_wall_stat,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/lab-values.csv,active_bundled_source_verified,none
LAB_WALL_REGEN,Wall Regen,wall,regen_percent_points,additive_percent_points,percent_points,persistent_lab_state,wall_regen_bonus,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/lab-values.csv,active_bundled_source_verified,none
LAB_WAVES_REQUIRED,Waves Required,waves_required,required_waves_delta,additive_wave_delta,waves,persistent_lab_state,tournament_or_milestone_requirement,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/lab-values.csv,active_bundled_source_verified,none
